id	SYMBOL	GO TERM
511145.b1646	sodC	GO:0006801
511145.b1646	sodC	GO:0019430
511145.b1656	sodB	GO:0000303
511145.b1656	sodB	GO:0006801
511145.b1656	sodB	GO:0019430
511145.b2610	ffh	GO:0006612
511145.b4059	ssb	GO:0000725
511145.b4059	ssb	GO:0006260
511145.b4059	ssb	GO:0006261
511145.b4059	ssb	GO:0006298
511145.b4059	ssb	GO:0009432
511145.b3089	sstT	GO:0006865
511145.b3089	sstT	GO:0032329
511145.b3089	sstT	GO:0015825
511145.b3089	sstT	GO:0015826
511145.b3713	chrR	GO:0006805
511145.b3713	chrR	GO:0051289
511145.b0729	sucD	GO:0006099
511145.b2811	csdE	GO:0061504
511145.b4031	xylE	GO:0015753
511145.b4031	xylE	GO:0055085
511145.b3117	tdcB	GO:0006565
511145.b3117	tdcB	GO:0006567
511145.b0417	thiL	GO:0009228
511145.b0417	thiL	GO:0009229
511145.b0452	tesB	GO:0009062
511145.b0452	tesB	GO:0006637
511145.b3244	tldD	GO:0016485
511145.b1293	sapB	GO:0015847
511145.b1293	sapB	GO:0015833
511145.b1292	sapC	GO:0015847
511145.b1292	sapC	GO:0015833
511145.b3727	pstC	GO:0009314
511145.b3727	pstC	GO:0035435
511145.b3750	rbsC	GO:0015752
511145.b3568	xylH	GO:0015752
511145.b3568	xylH	GO:0042732
511145.b3568	xylH	GO:0015753
511145.b3290	trkA	GO:0071805
511145.b3290	trkA	GO:0006813
511145.b3651	trmH	GO:0002938
511145.b3651	trmH	GO:0030488
511145.b3606	trmL	GO:0002131
511145.b3606	trmL	GO:0002132
511145.b1637	tyrS	GO:0006437
511145.b1637	tyrS	GO:0043039
511145.b4040	ubiA	GO:0006744
511145.b3180	yhbY	GO:0000027
511145.b3180	yhbY	GO:0000028
511145.b3180	yhbY	GO:0000967
511145.b2531	iscR	GO:0006355
511145.b3113	tdcF	GO:0006566
511145.b2619	ratA	GO:0045947
511145.b2946	rsmE	GO:0070475
511145.b3474	yhhT	GO:0055085
511145.b2497	uraA	GO:0098721
511145.b2497	uraA	GO:0015857
511145.b3654	xanP	GO:0042906
511145.b3304	rplR	GO:0002181
511145.b3687	ibpA	GO:0009408
511145.b3687	ibpA	GO:0017148
511145.b3686	ibpB	GO:0009408
511145.b3686	ibpB	GO:1990169
511145.b2963	mltC	GO:0009253
511145.b2963	mltC	GO:0034599
511145.b2963	mltC	GO:0051301
511145.b2963	mltC	GO:0071236
511145.b1563	relE	GO:0006402
511145.b1563	relE	GO:0017148
511145.b1563	relE	GO:0034198
511145.b1563	relE	GO:0046677
511145.b1563	relE	GO:0006355
511145.b1563	relE	GO:0040008
511145.b1563	relE	GO:0044010
511145.b1564	relB	GO:0006351
511145.b1564	relB	GO:0006355
511145.b1564	relB	GO:0040008
511145.b1564	relB	GO:0044010
511145.b3641	slmA	GO:0000918
511145.b3641	slmA	GO:0010974
511145.b3641	slmA	GO:0032272
511145.b3641	slmA	GO:0006355
511145.b3859	srkA	GO:0006950
511145.b1482	osmC	GO:0006972
511145.b1482	osmC	GO:0006979
511145.b1482	osmC	GO:0033194
511145.b4111	proP	GO:0006865
511145.b4111	proP	GO:0031460
511145.b4111	proP	GO:0071474
511145.b4111	proP	GO:1905647
511145.b4111	proP	GO:0007231
511145.b4111	proP	GO:0071475
511145.b2524	iscX	GO:0016226
511145.b3179	rlmE	GO:0000027
511145.b3179	rlmE	GO:0001510
511145.b3179	rlmE	GO:0006364
511145.b2924	mscS	GO:0009992
511145.b2924	mscS	GO:0034220
511145.b2924	mscS	GO:0051260
511145.b2328	mepA	GO:0000270
511145.b2328	mepA	GO:0009252
511145.b2328	mepA	GO:0009410
511145.b0852	rimK	GO:0009432
511145.b0161	degP	GO:0006457
511145.b0161	degP	GO:0006508
511145.b0161	degP	GO:0006515
511145.b0161	degP	GO:0006979
511145.b0161	degP	GO:0009266
511145.b0161	degP	GO:0009408
511145.b0161	degP	GO:0061077
511145.b1397	paaJ	GO:0006974
511145.b1397	paaJ	GO:0010124
511145.b1397	paaJ	GO:0006635
511145.b2096	gatY	GO:0019404
