511145.b1561	rem
511145.b0984	gfcD
511145.b1612	fumA
511145.b2387	fryB
511145.b2619	ratA
511145.b1824	yobF
511145.b1693	aroD
511145.b2163	yeiL
511145.b3738	atpB
511145.b3805	hemC
511145.b2532	trmJ
511145.b1485	ddpC
511145.b2478	dapA
511145.b2101	yegW
511145.b2731	fhlA
511145.b3096	mzrA
511145.b0252	yafZ
511145.b3622	waaL
511145.b3714	adeP
511145.b2724	hycB
511145.b0436	tig
511145.b1990	ldtA
511145.b2050	wcaI
511145.b1897	otsB
511145.b0566	envY
511145.b2268	rbn
511145.b3400	hslR
511145.b3793	wzyE
511145.b1492	gadC
511145.b0631	ybeD
511145.b2774	ygcW
511145.b2804	fucU
511145.b3965	trmA
511145.b3983	rplK
511145.b1713	pheT
511145.b0393	rdgC
511145.b2282	nuoH
511145.b4044	dinF
511145.b2288	nuoA
511145.b2767	ygcO
511145.b4668	ibsB
511145.b2270	yfbK
511145.b2442	intZ
511145.b2924	mscS
511145.b0706	ybfD
511145.b1838	pphA
511145.b3926	glpK
511145.b3986	rplL
511145.b4065	yjcE
511145.b4213	cpdB
511145.b0582	insL1-2
511145.b0394	mak
511145.b2202	napC
511145.b0879	macB
511145.b0796	ybiH
511145.b2304	yfcH
511145.b2614	grpE
511145.b0959	sxy
511145.b3636	rpmG
511145.b3225	nanA
511145.b2922	yggE
511145.b1115	ycfT
511145.b4475	rtcA
511145.b3959	argB
511145.b2708	srlQ
511145.b3727	pstC
511145.b4419	ldrA
511145.b0401	brnQ
511145.b3138	agaB
511145.b2481	hyfA
511145.b1241	adhE
511145.b2071	yegJ
511145.b1087	yceF
511145.b3018	plsC
511145.b4200	rpsF
511145.b2674	nrdI
511145.b3115	tdcD
511145.b1681	sufD
511145.b3736	atpF
511145.b0066	thiQ
511145.b2254	arnC
511145.b2341	fadJ
511145.b2843	kduI
511145.b2789	gudP
511145.b0637	rsfS
511145.b0783	moaC
511145.b2642	yfjW
511145.b4596	yciZ
511145.b4385	yjjJ
511145.b4376	osmY
511145.b1154	stfP
511145.b2330	prmB
511145.b2753	iap
511145.b1461	pptA
511145.b1809	yoaB
511145.b2502	ppx
511145.b0925	ldtD
511145.b3165	rpsO
511145.b3343	tusB
511145.b2813	mltA
511145.b0770	ybhI
511145.b2714	ascG
511145.b2792	yqcC
511145.b3375	frlR
511145.b3070	yqjH
511145.b2607	trmD
511145.b3481	nikR
511145.b3153	yhbO
511145.b0134	panB
511145.b1041	csgB
511145.b2567	rnc
511145.b3689	yidR
511145.b0231	dinB
511145.b0047	kefC
511145.b0864	artP
511145.b0336	codB
511145.b3479	nikD
511145.b3665	adeD
511145.b1551	ynfN
511145.b0653	gltK
511145.b2290	alaA
511145.b4362	dnaT
511145.b3873	yihM
511145.b1746	astD
511145.b3697	yidA
511145.b1450	mcbR
511145.b1764	selD
511145.b2320	pdxB
511145.b0591	entS
511145.b0660	ybeZ
511145.b4687	shoB
511145.b0262	afuC
511145.b0784	moaD
511145.b0526	cysS
511145.b0844	ybjI
511145.b1515	lsrD
511145.b2633	yfjQ
511145.b4474	frlC
511145.b4037	malM
511145.b2998	yghW
511145.b2836	aas
511145.b4059	ssb
511145.b1110	ycfJ
511145.b1686	menI
511145.b1812	pabB
511145.b4023	yjbD
511145.b0452	tesB
511145.b1649	nemR
511145.b2785	rlmD
511145.b2233	yfaL
511145.b0850	ybjC
511145.b3574	yiaJ
511145.b1601	tqsA
511145.b4593	ymgI
511145.b0983	gfcE
511145.b2359	yfdP
511145.b3861	yihF
511145.b0999	cbpM
511145.b0730	mngR
511145.b2995	hybB
511145.b2044	wcaL
511145.b0174	ispU
511145.b4019	metH
511145.b3147	lpoA
